waste_type,total_waste_generated_tonne,total_waste_recycled_tonne,recycling_rate,waste_disposed_of_tonne,year,calc_recycling_rate
others stone ceramic rubber etc,114100.0,11000.0,0.1,103100.0,2004,9.64
total,4789700.0,2307100.0,0.48,2482600.0,2004,48.17
food waste,548000.0,32900.0,0.06,515100.0,2003,6.0
paper cardboard,1084700.0,466200.0,0.43,618500.0,2003,42.98
plastic,579900.0,39100.0,0.07,540800.0,2003,6.74
construction debris,422900.0,398300.0,0.94,24600.0,2003,94.18
wood timber,213400.0,40800.0,0.19,172600.0,2003,19.12
horticultural waste,304600.0,119300.0,0.39,185300.0,2003,39.17
ferrous metal,856700.0,799000.0,0.93,57700.0,2003,93.26
nonferrous metal,93900.0,75800.0,0.81,18100.0,2003,80.72
used slag,260300.0,238500.0,0.92,21800.0,2003,91.63
ash sludge,88500.0,0.0,0.0,88500.0,2003,0.0
glass,65500.0,6200.0,0.09,59300.0,2003,9.47
textile leather,91600.0,900.0,0.01,90700.0,2003,0.98
scrap tyre,14400.0,6200.0,0.43,8200.0,2003,43.06
others stone ceramic rubber etc,103800.0,0.0,0.0,103800.0,2003,0.0
total,4728200.0,2223200.0,0.47,2505000.0,2003,47.02
construction debris,1609000.0,1600000.0,0.99,9000.0,2017,99.44
ferrous metal,1379000.0,1371000.0,0.99,8000.0,2017,99.42
paper cardboard,1145000.0,569000.0,0.5,576000.0,2017,49.69
plastic,815000.0,52000.0,0.06,763000.0,2017,6.38
food waste,810000.0,133000.0,0.16,677000.0,2017,16.42
wood timber,424000.0,327000.0,0.77,97000.0,2017,77.12
horticultural waste,328000.0,221000.0,0.67,108000.0,2017,67.38
used slag,273000.0,269000.0,0.99,3000.0,2017,98.53
ash sludge,243000.0,29000.0,0.12,215000.0,2017,11.93
textile leather,151000.0,10000.0,0.06,141000.0,2017,6.62
nonferrous metal,94000.0,92000.0,0.98,2000.0,2017,97.87
glass,71000.0,12000.0,0.17,59000.0,2017,16.9
scrap tyre,36000.0,33000.0,0.92,3000.0,2017,91.67
others stone ceramic rubber etc,326000.0,7000.0,0.02,319000.0,2017,2.15
total,7704000.0,4724000.0,0.61,2980000.0,2017,61.32
construction debris,1624000.0,1618000.0,0.99,7000.0,2018,99.63
ferrous metal,1269000.0,1260000.0,0.99,9000.0,2018,99.29
paper cardboard,1054000.0,586000.0,0.56,467000.0,2018,55.6
plastic,949000.0,41000.0,0.04,909000.0,2018,4.32
food waste,763000.0,126000.0,0.17,637000.0,2018,16.51
horticultural waste,521000.0,428000.0,0.82,93000.0,2018,82.15
wood timber,320000.0,227000.0,0.71,93000.0,2018,70.94
ash sludge,240000.0,25000.0,0.1,215000.0,2018,10.42
textile leather,220000.0,14000.0,0.06,206000.0,2018,6.36
used slag,246000.0,243000.0,0.99,2000.0,2018,98.78
nonferrous metal,171000.0,170000.0,0.99,2000.0,2018,99.42
glass,64000.0,12000.0,0.19,52000.0,2018,18.75
scrap tyre,32000.0,29000.0,0.9,3000.0,2018,90.63
others stone ceramic rubber etc,286000.0,11000.0,0.04,274000.0,2018,3.85
total,7759000.0,4790000.0,0.62,2969000.0,2018,61.73
construction debris,1440000.0,1434000.0,0.99,6000.0,2019,99.58
ferrous metal,1278000.0,1270000.0,0.99,8000.0,2019,99.37
paper cardboard,1011000.0,449000.0,0.44,561000.0,2019,44.41
plastic,930000.0,37000.0,0.04,893000.0,2019,3.98
food waste,744000.0,136000.0,0.18,607000.0,2019,18.28
wood timber,438000.0,289000.0,0.66,149000.0,2019,65.98
horticultural waste,400000.0,293000.0,0.73,107000.0,2019,73.25
ash sludge,252000.0,25000.0,0.1,226000.0,2019,9.92
textile leather,168000.0,6000.0,0.04,161000.0,2019,3.57
used slag,174000.0,171000.0,0.99,3000.0,2019,98.28
nonferrous metal,126000.0,124000.0,0.99,2000.0,2019,98.41
glass,75000.0,11000.0,0.14,64000.0,2019,14.67
scrap tyre,33000.0,31000.0,0.94,2000.0,2019,93.94
others stone ceramic rubber etc,210000.0,15000.0,0.07,195000.0,2019,7.14
total,7278000.0,4293000.0,0.59,2984000.0,2019,58.99
paper cardboard,1144000.0,432000.0,0.38,712000.0,2020,37.76
ferrous metal,934000.0,930000.0,0.99,4000.0,2020,99.57
plastic,868000.0,36000.0,0.04,832000.0,2020,4.15
construction debris,825000.0,822000.0,0.99,3000.0,2020,99.64
food waste,665000.0,126000.0,0.19,539000.0,2020,18.95
horticultural waste,313000.0,249000.0,0.8,64000.0,2020,79.55
wood timber,304000.0,195000.0,0.64,109000.0,2020,64.14
ash sludge,228000.0,16000.0,0.07,211000.0,2020,7.02
textile leather,137000.0,6000.0,0.04,131000.0,2020,4.38
used slag,106000.0,104000.0,0.99,2000.0,2020,98.11
nonferrous metal,75000.0,73000.0,0.98,2000.0,2020,97.33
glass,66000.0,7000.0,0.11,58000.0,2020,10.61
scrap tyre,23000.0,22000.0,0.95,1000.0,2020,95.65
others stone ceramic rubber etc,193000.0,21000.0,0.11,173000.0,2020,10.88
total,5880000.0,3040000.0,0.52,2841000.0,2020,51.7
paper cardboard,1136000.0,437000.0,0.39,699000.0,2021,38.47
ferrous metal,1312000.0,1306000.0,0.99,6000.0,2021,99.54
plastic,982000.0,58000.0,0.06,924000.0,2021,5.91
construction debris,1013000.0,1011000.0,0.99,2000.0,2021,99.8
food waste,817000.0,154000.0,0.19,663000.0,2021,18.85
horticultural waste,332000.0,277000.0,0.83,55000.0,2021,83.43
wood timber,310000.0,234000.0,0.76,76000.0,2021,75.48
ash sludge,249000.0,22000.0,0.09,227000.0,2021,8.84
textile leather,189000.0,7000.0,0.04,182000.0,2021,3.7
used slag,182000.0,181000.0,0.99,1000.0,2021,99.45
nonferrous metal,88000.0,87000.0,0.98,1000.0,2021,98.86
glass,74000.0,9000.0,0.13,65000.0,2021,12.16
scrap tyre,27000.0,26000.0,0.95,1000.0,2021,96.3
others stone ceramic rubber etc,233000.0,18000.0,0.08,214000.0,2021,7.73
total,6944000.0,3826000.0,0.55,3118000.0,2021,55.1
ferrous metal,1338000.0,1331000.0,0.99,7000.0,2022,99.48
paper cardboard,1064000.0,394000.0,0.37,671000.0,2022,37.03
construction debris,1424000.0,1419000.0,0.99,5000.0,2022,99.65
plastic,1001000.0,57000.0,0.06,944000.0,2022,5.69
food waste,813000.0,146000.0,0.18,667000.0,2022,17.96
horticultural waste,221000.0,188000.0,0.85,32000.0,2022,85.07
wood timber,419000.0,298000.0,0.71,121000.0,2022,71.12
ash sludge,241000.0,27000.0,0.11,213000.0,2022,11.2
textile leather,254000.0,5000.0,0.02,249000.0,2022,1.97
used slag,169000.0,166000.0,0.99,2000.0,2022,98.22
nonferrous metal,92000.0,91000.0,0.98,2000.0,2022,98.91
glass,73000.0,11000.0,0.14,63000.0,2022,15.07
scrap tyre,26000.0,25000.0,0.95,1000.0,2022,96.15
others stone ceramic rubber etc,249000.0,30000.0,0.12,219000.0,2022,12.05
total,7385000.0,4188000.0,0.57,3197000.0,2022,56.71
